No.,Status Sertifikat,Penggunaan,Kategori Luas,Jenis Nadzir,Kelurahan
319,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
320,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
321,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
322,BELUM,MUSHOLLAH,KECIL,Perorangan,Jenggot
323,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
324,BELUM,MUSHOLLAH,KECIL,Perorangan,Jenggot
325,BELUM,MUSHOLLAH,KECIL,Perorangan,Jenggot
326,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
327,BELUM,MUSHOLLAH,KECIL,Perorangan,Jenggot
328,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
329,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
330,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
331,BELUM,PENDIDIKAN,SEDANG,Perorangan,Jenggot
332,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
333,BELUM,MUSHOLLAH,KECIL,Perorangan,Sokoduwet
334,BELUM,MUSHOLLAH,SEDANG,Perorangan,Buaran Kradenan
335,BELUM,MUSHOLLAH,SEDANG,Perorangan,Buaran Kradenan
336,BELUM,MUSHOLLAH,KECIL,Perorangan,Banyurip
337,BELUM,PENDIDIKAN,SEDANG,Organisasi,Kuripan Yosorejo
338,BELUM,PENDIDIKAN,BESAR,Organisasi,Kuripan Yosorejo
339,BELUM,LAHAN PRODUKTIF,BESAR,Organisasi,Kuripan Kertoharjo
340,BELUM,MAKAM,SEDANG,Perorangan,Kuripan Yosorejo
341,BELUM,MAKAM,SEDANG,Perorangan,Kuripan Yosorejo
342,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
343,BELUM,MASJID,SEDANG,Badan Hukum,Kuripan Yosorejo
344,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Yosorejo
345,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
346,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
347,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
348,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
349,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
350,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
351,BELUM,PENDIDIKAN,SEDANG,Perorangan,Kuripan Yosorejo
352,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
353,BELUM,MASJID,SEDANG,Perorangan,Banyurip
354,BELUM,MUSHOLLAH,SEDANG,Perorangan,Banyurip
355,BELUM,MUSHOLLAH,BESAR,Perorangan,Banyurip
356,BELUM,MASJID,BESAR,Perorangan,Banyurip
357,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
358,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
359,BELUM,MASJID,SEDANG,Perorangan,Kuripan Kertoharjo
360,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
361,BELUM,MUSHOLLAH,SEDANG,Perorangan,Kuripan Kertoharjo
362,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
363,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
364,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
365,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Kertoharjo
366,BELUM,MASJID,BESAR,Perorangan,Kuripan Kertoharjo
367,BELUM,MUSHOLLAH,KECIL,Perorangan,Buaran Kradenan
368,BELUM,PENDIDIKAN,SEDANG,Perorangan,Buaran Kradenan
369,BELUM,PENDIDIKAN,BESAR,Perorangan,Jenggot
370,BELUM,PENDIDIKAN,BESAR,Perorangan,Jenggot
371,BELUM,PENDIDIKAN,BESAR,Perorangan,Jenggot
372,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
373,BELUM,MUSHOLLAH,SEDANG,Perorangan,Jenggot
374,BELUM,MUSHOLLAH,KECIL,Perorangan,Kuripan Yosorejo
375,BELUM,SOSIAL & KESEHATAN,SEDANG,Perorangan,Kuripan Yosorejo
